N,P,K,temperature,humidity,ph,rainfall,label
102,65,170,23.060449069775288,87.09462426080624,5.90192889492368,180.97496469798972,maize
92,102,32,23.9982422642389,76.45229561214104,5.69896147496698,79.47612510650026,wheat
14,32,29,18.918185818562975,86.39698133541258,6.85744905173524,78.33153696385162,wheat
106,47,100,33.797826762561115,39.715090446403764,7.49305645254328,55.106744029414536,wheat
71,90,129,20.91180906895253,41.22743319530893,9.369952858670285,73.08673724947397,wheat
20,21,14,17.640529082814815,71.72505384578332,7.870317116604395,28.900961875438547,wheat
102,102,192,23.560318142162295,16.704352135069488,7.36249119465754,208.78480592958897,maize
121,102,46,11.293550661948514,76.47872018501835,5.510554605610055,132.3911925675544,groundnut
74,69,44,34.87771536719134,85.87734409349571,3.707023258989956,177.2268876564806,maize
87,78,81,8.45347044578433,49.70406844795295,5.228750773128151,198.34813304582386,groundnut
116,89,109,31.201462214741383,79.77957938760831,8.110687402757707,292.29567743732457,rice
99,9,122,14.583122963175407,29.016538860474526,4.73163164482281,39.11444243954028,groundnut
103,6,46,16.366545663718874,41.71439386847568,7.773129162044687,137.01695175280264,groundnut
130,26,51,30.88275195104144,97.79022682750106,6.978679055416495,88.85142138741469,wheat
52,116,169,43.745964768184656,98.82422292617086,4.531141218502789,153.47934091990797,maize
1,61,26,35.99782960661182,58.08403455985657,5.069748837750979,277.7322441718887,rice
87,70,189,16.130226760042113,94.34720206589341,6.477821620918859,222.71559426948235,groundnut
37,78,111,14.336891181480816,58.95483831288949,6.010248230647084,205.34588421437013,groundnut
129,102,31,39.184383329636134,39.07657902185953,8.171383085280556,143.54884540072968,cotton
20,116,45,23.990622125174156,36.95333877649438,7.906427855259482,207.91149954484206,maize
57,129,84,12.933900901813598,93.9374906616608,6.947447020838102,29.065105636834264,groundnut
21,90,166,39.039611239589775,28.830389451751884,8.433648268837551,184.14682816837043,maize
88,80,164,37.379324704913415,63.84839140535637,6.876017244105852,175.05743752778952,maize
48,92,93,43.42062910029789,61.77515585339389,9.286335539943561,117.059320949694,sugarcane
58,42,70,40.750772721656624,77.60746488015756,4.803344594906489,76.42395511875036,wheat
14,63,16,38.6644521917795,56.93489004713063,7.784791961612917,246.1155542798043,rice
50,142,172,9.892678321196113,37.41656682089954,5.719664792326808,35.081392047427016,groundnut
107,103,77,11.758953301932248,28.568098968315756,5.1737971665211635,39.50840203860458,groundnut
54,67,80,28.48339499494842,67.3904171015067,4.582324855806277,143.34608831556102,sugarcane
63,53,94,27.13325286614555,75.83320508937805,6.815020857569263,90.71527327440941,wheat
130,36,14,24.48667572162328,62.97882996665481,4.792816596495268,228.72667578196572,maize
50,139,100,22.284415714925032,77.49820983242275,4.702105108690436,197.57322153793348,maize
134,25,180,23.52357745511584,26.17082341069657,9.443191430502907,236.3097429154568,maize
20,24,24,28.494725628852628,89.89243676510965,8.310484501074566,110.9101077745843,groundnut
72,131,43,8.074754633602923,64.08601372313126,7.989660921526252,227.34530309300288,groundnut
17,72,64,17.38551586878268,24.908577712763353,8.264363755296529,261.4449060873917,groundnut
131,114,70,26.6580699447936,53.72556756169321,9.313537242312455,116.67685843720008,cotton
88,120,69,33.99977955225127,86.65208945646839,6.93966013251922,115.17082992531334,cotton
59,124,183,14.269640926234267,91.19034863697178,4.821463264417163,271.98639309379934,groundnut
13,83,128,27.687722256347588,36.759857429893486,8.673257844519433,33.941270892558556,wheat
8,120,168,33.72054861988814,75.16886092509895,7.956384376724541,118.05303360463641,sugarcane
89,96,156,24.006595684900567,22.598731283604796,5.985849874005039,53.228297780105144,wheat
52,18,159,8.974920812121837,16.88494494144557,6.341416991447878,28.114565269993346,groundnut
129,129,134,24.173653704762923,62.194310028515076,5.967514390873214,51.603436941110196,wheat
83,62,163,18.672015958789512,73.75517182221883,9.079652961374025,140.74882153047753,groundnut
91,32,61,41.46738587724782,82.43765888117917,5.561189668989765,212.34769938378142,rice
110,30,82,12.486081884419786,43.258596507158785,9.280905671937035,100.99907884374963,groundnut
7,117,198,31.489134398260358,14.56118529688428,8.9616306275237,257.90908607231495,rice
34,70,33,9.897911588042042,55.238654391576425,7.2831268534890405,142.53237604673802,groundnut
80,135,19,24.062135761257075,15.36340490212676,6.978930638600448,291.1038542692882,maize
49,48,16,27.9432615399229,21.910667917688794,5.720535680419825,287.163587444236,rice
103,101,105,18.726377527407156,42.09525593773036,3.6100303340638993,236.5173423467082,groundnut
131,46,160,24.38272287873384,51.59679626217524,4.26573911742652,281.0735389210531,maize
1,10,88,13.887936603086745,38.034371945749776,8.025387940097293,217.98690132511123,groundnut
133,27,129,18.9484585808493,64.04041291940487,6.329240759528991,270.76329319753074,groundnut
53,93,107,30.359827696767308,18.76008187275619,4.399028805127808,86.21264086256582,wheat
105,127,28,18.864802011001583,26.433855080604285,5.083765124791226,116.71765604950362,groundnut
